Row,Client,Service Order,New Service order,Engine Type,ESN,SOW,QTY,Part Name,Applicant,Part No.,Actual End,Cleaning,Inspection,Repair & Coating,Status,Remarks
74,GT 22,,,LTC4B-8D,,"Cleaning, Inspection (FPI), Repair",1,2ND NOZZLE,Roostapishe,2-140-240-01 ,14/12/24,Completed,Completed,,Completed,عدم تا??د کارفرما برا? تعم?ر توسط پ?مانکار و تقاضا? عودت قطعه
75,Zagros,S-20003,560029,CFM56-5A3,,Cleaning,1,"Case, CPRSR STTR REAR",Engine Shop,1559M40G03,23/07/24,Completed,,,Completed,پا?ان تم?زکار?
76,Zagros,S-10023,560022,CFM56-5A1,,Cleaning,2,"CASE, ASSY-CPRSR STTR, CASE, COMBUSTION",Engine Shop,"1318M75G10, 2002M88G02",23/07/24,Completed,,,Completed,پا?ان تم?زکار?
78,GT 25,,,JT8D,,Cleaning,2,LPT Disk Stage3 & Stage4,Engine Design,"777603, 800804",28/06/24,Completed,,,Completed,پا?ان تم?زکار?
79,Fars Co 6th,S-20007,560033,JT8D,"717475, 708424","Cleaning, Inspection, Repair",160,HPT Blade stg 1,معاونت کسب و کار,"856001, 847601",,Completed,Completed,,,"پا?ان بازرس? ،در مرحله تعم?ر در NVO. جاب کارد تعم?ر آماده است."
80,Iran Air tour,S-10003,560002,JT8D,,"Inspection, Repair",146,LPT Blade stg 3&4,معاونت کسب و کار,"803003, 851704",5/10/2024,Completed,Completed,Completed,Completed, تحو?ل بل?د ها? 3 و 4 به ن?کل آل?اژ جهت تعم?ر (74 عدد بل?د 3 و 57 عدد بل?د 4). پا?ان تعم?ر. جاب کارد تعم?ر آماده است.
81,Fars Co 7th,S-10022,560021,JT8D,725562,"Cleaning, Inspection, Repair",88,LPT Blade stg 3,معاونت کسب و کار,798403  ,,Completed,Completed,,,"اتمام بازرس?،کاسپ?ن. جاب کارد تعم?ر تدو?ن گرد?ده است. در انتظار تأ??د?ه آقا? رضا?? برا? تعم?ر."
82,Sepahan,S-10019,560018,CFM56-5A3,731878,Cleaning,74,Blade stg 3 & 4,Engine Shop,List,20/07/24,Completed,,,Completed,پا?ان تم?زکار?
83,Sepahan,Donator,,CFM56-5A1/F,731330,Cleaning,78,Blade stg 3 & 4,Engine Shop,List,20/07/24,Completed,,,Completed,پا?ان تم?زکار?
84,Iran Air tour,-,560098,JT8D-219,,Root Cause Failure Analysis,4,LPT Blade Stage 2 ,Engine Shop,B 800002,21/08/24,,,,Completed,تحو?ل واحد تحق?ق و توسعه. مجوز تخر?ب گرفته شده است.
85,Meraj,S-10006,560005,CFM56-5B5/P,,Heat tint,4,LPT Blade Stage 2 ,Engine Shop,3381083040,22/06/24,,,,Completed,گزارش توسط واحد تحق?ق وتوسعه ارسال شده است.
86,Iran Air tour,-,560098,JT8D-219,,"Cleaning, Inspection",5,"Shaft, Disk, HUB ASSY",Engine Shop,List,26/10/24,Completed,Completed,,Completed," پا?ان بازرس? و تحو?ل قطعات به فرد?س، عدم تکم?ل بازرس? ابعاد? شفت. در مرحله اد? کارنت د?سک 4"
87,Chabahar,-,560186,JT8D,, Inspection,188,HPT Blade stg 1,,856101,29/10/24,Completed,Completed,Completed,Completed,"پا?ان تعم?ر، 180 قطعه serviceable- جاب کارد تعم?ر به واحد تعم?رات جهت تکم?ل ارسال شده است."
88,Zagros,-,560161,JT8D,,"Cleaning, Inspection",146,LPT  Blade 3&4,Engine Shop,"851704, 803003",,Completed,Completed,,,اتمام بازرس?. جاب کارد تعم?ر دارد. تحو?ل NVO برا? تعم?ر
89,Meraj,S-10006,560005,CFM56-5B5/P,,"Cleaning, Inspection, Coating (Aluminize)",350,"Blade stg 1(160SL+2 OL), Blade stg 2 (80SL+70OL), Nozzle stg 2 (17), Nozzle stg 3 (19),  Nozzle BS (2)",Engine Shop,List,22/04/25,Completed,Completed,Completed,Completed,تم?زکار? انجام شده است. پا?ان پوشش بل?د 1 و 2 (160 بل?د رد?ف 1 قابل خدمت از 162 عدد) و (80 عدد بل?د رد?ف 2 قابل خدمت از 150 عدد)-  عودت مجدد 160 عدد است?ج 1 و 76 عدد است?ج 2 به ازماتک
91,,,,,,Cleaning,17,Accessory parts,تجه?زات جانب?,List,7/7/2024,Completed,,,Completed,پا?ان تم?زکار?
92,Meraj,-,560187,CFM56-5B62P (575616),,"Cleaning, Inspection, Repair",5+1,"Cowl, Inner Dome, Outer Dome, OUTER COMB CHAMBER, INNER COMB CHAMBER (COMBUSTION CHAMBER ASSY  PN:73M18G02   S/N:MMTE6017     1EA)",معاونت کسب و کار,"1873M18G02, 1968M91G03, 1968M90G02, 1873M78G07, 1968M96G10",4/3/2025,Completed,Completed,Completed,Completed,"تم?زکار? و بازرس? انجام شده،در مرحله تعم?ر، ابلاغ جاب کارد تعم?ر به تعم?رات. ددلا?ن اول?ه 30 شهر?ور و ددلا?ن جد?د تعم?رات 20 آذر م? باشد. مورخ 1403/11/15 قطعات اوتر لا?نر و ا?نر دام برا? پوشش به اصفهان ارسال گرد?د."
93,Kish air,-,560185,JT8D,,"Cleaning, Inspection",146,LPT Blade stg 3 & 4,معاونت کسب و کار,"798403, 822504",13/10/24,Completed,Completed,Completed,Completed,تحو?ل به مشتر?. جاب کارد تعم?ر توسط خانم کلانتر? آماده شده است.
94,Fars Co 4th (Kish),S-10022,560021,JT8D,,"Cleaning, Inspection, Repair",82,LPT Blade stg 3,معاونت کسب و کار,798403,14/05/25,Completed,Completed,Completed,Completed,.  مجوز تخر?ب برا? سه قطعه OL گرفته شد. جاب کارد تعم?ر دارد. تأ??د تعم?ر توسط کارفرما. ارسال قطعات به NVO مورخ 1403/11/24
95,GT 20,,,,,Cleaning,80,HPT balde,Engine Design,M79G01 ( 2080M81P01),19/08/24,Completed,,,Completed,پا?ان تم?زکار?
96,Air 1,S-10018,560017,CFM56-3C1,,"Cleaning, inspection, Repair",13,"HPT Seal, Cover Assy, …",Engine Shop,List,,Completed,Completed,,,"پا?ان بازرس?، جاب کارد تعم?ر هر دو قطعه به تعم?رات ابلاغ گرد?د."
97,Air 1,S-10014,560013,CFM56-3C1,,"Cleaning, inspection, Repair",3,"Screen Thermal, Cone spinner",Engine Shop,List,,Completed,Completed,,,پا?ان بازرس?.جاب کارد تعم?ر Cone Spinner و Thermal به کارگاه ابلاغ گرد?ده است. عدم امکان تعم?ر  Cone و عودت به فرد?س- در انتظار تأم?ن ف?لر جنس S.S 321 ?ا 347  جهت تعم?ر قطعه Thermal
98,Iran Air tour,S-10003,560002,JT8D,,"Cleaning Inspection, Repair",111,"Ring Assy, Duct, Spacer",معاونت کسب و کار,List,5/10/2024,Completed,Completed,,Completed,نتا?ج بازرس? ارسال گرد?د.
99,Zagros,-,560162,JT8D,,Cleaning,466,"Disk, Case, standard, …",Engine Shop,List,10/9/2024,Completed,,,Completed,پا?ان تم?زکار?
100,Sepahan,S-10019,560018,CFM56-5A,731878,"Cleaning, FPI (2-3-4)",211,"Damper, Shaft, Seal , Disk, ...",Engine Shop,List,19/09/24,Completed,Completed,,Completed,"ابلاغ تم?زکار?، پا?ان FPI، در مرحله تم?زکار? پس از FPI"
101,Zagros,560161,560161,JT8D-217C,,Cleaning,244,"Vane, Blade, Ring Assy, …",Engine Shop,List,10/9/2024,Completed,,,Completed,پا?ان تم?زکار?
102,Air 1,560097,560097,CFM56-3C1,,Cleaning,930,"CC, Nozzle, Shroud, …",Engine Shop,List,17/10/24,Completed,,,Completed,"شروع تم?زکار?، بل?د ها در مرحله وت بلاست"
105,Air 1,,560097,CFM56-3C1,858594,Cleaning,2982,Standard Parts,Engine Shop,List,11/9/2024,Completed,,,Completed,پا?ان تم?زکار?
110,Sepahan,S-10019,,CFM56-5A,731878,Cleaning,1,"FRAME, ASSY-LPT",Engine Shop,336-031-631-0,10/9/2024,Completed,,,Completed,پا?ان تم?زکار?
111,Qeshm ,,560208,CFM56-5B4/P,779213,Cleaning,107,"Liner, Dome, Shroud, Blade",Engine Shop,List,30/09/24,Completed,,,Completed,پا?ان تم?زکار?
113,Fars Co 8th ,,560210,JT8D-219,725839,"Cleaning, Inspection, Repair",64,1th stg. HPT  Blade,معاونت کسب و کار,"856101, 830701-003",23/02/25,Completed,Completed,Completed,Completed,"پا?ان بازرس?، قطعات تحو?ل NVO، پا?ان تعم?ر و تحو?ل به تابان"
114,Fars Co 8th ,,560211,JT8D,717475,"Cleaning, Inspection, Repair",88,3rd stg. HPT  Blade,معاونت کسب و کار,803003,31/08/24,Completed,Completed,,Completed,تم?زکار? انجام شده است. پا?ان بازرس? تمام قطعات OL
115,ATA,,560223,JT8D,725883   ,"Cleaning, Inspection, Repair",146,3rd & 4th stg LPT Blade,معاونت کسب و کار,"798403, 822504",23/10/24,Completed,Completed,Completed,Completed,"پا?ان تعم?ر، تحو?ل به مشتر?"
116,Esfahan,,,AC-P4,,Cleaning,2,"Torus assembly, outlet",تجه?زات جانب?,,31/08/24,Completed,,,Completed,پا?ان تم?زکار?
117,Purchased parts,,,CF6-80C2,,Inspection,276,HPT Shroud stg 1 & 2,,List,15/09/24,,Completed,,Completed,تمام قطعات در وضع?ت serviceable و صدور فرم 1
119,Iran Air tour,,560098,JT8D-219,725802,"Cleaning, DT, FPI",74,LPT Blade Stage 2 ,Engine Shop 2,800002,29/09/24,Completed,Completed,,Completed,"تم?زکار?، FPI و بازرس? ابعاد? انجام شده است. نتا?ج شکست ارسال گرد?د."
120,Iran Air tour,,560229,JT8D-219,725979,"Cleaning, Inspection",146,LPT Blade stg 3 & 4,Engine Shop 2,"798403, 822504",1/2/2025,Completed,Completed,Completed,Completed,"پا?ان بازرس? و ارسال به NVO جهت تعم?ر، پا?ان تعم?ر"
121,Taban,,560209,JT8D-219,725441,"Cleaning, Inspection",146,LPT Blade stg 3 & 4,Engine Shop 2,"798403, 822504",23/02/25,Completed,Completed,Completed,,"پا?ان بازرس? و ارسال به NVO جهت تعم?ر، پا?ان تعم?ر، تحو?ل قطعات به تابان"
122,Qeshm ,S-10011,560010,CF6-80C2A5,695362,"Cleaning, Inspection, Repair",24,HPT NGV Stg 2,Engine Shop 2,"2080M12G01, 2080M12G02",,Completed,Completed,,,تم?زکار? انجام شده است. در مرحله بازرس? چشم? اسکوپ و جاب کارد تعم?ردارد. در انتظار تأ??د?ه شاپ 2 برا? تعم?ر
123,Qeshm ,S-10011,560010,CF6-80C2A5,695372,"Cleaning, Inspection, Repair",74,BLADE HPTSTG 2,Engine Shop 2,1881M5205,,Completed,Completed,,,"پا?ان بازرس? و صف تدو?ن جاب کارد تعم?ر، در انتظار تأ??د?ه شاپ 2 برا? تعم?ر"
124,Qeshm ,,560214,CFM56-5B4/P,779221,Cleaning,147,"Disk, seal, nozzle, …",Engine Shop,List,10/9/2024,Completed,,,Completed,پا?ان تم?زکار?
125,Meraj,S-10006,560005,CFM56-5B5/P,575649,"Cleaning, Inspection, Repair",83,"HPT Blade, HPT Nozzle",Engine Shop,"1957M10P01, 2086M14G02",,Completed,Completed,,,"تم?زکار? و وت بلست انجام شده است. پا?ان بازرس?، ارسال 71 عدد قطعه به نما?نده NVO Messenger Agency  جهت تعم?ر،عدم امکان تعم?ر سه عدد و?ن در معاونت. 5 عدد بل?د عودت جهت بازرس? پس از تعم?ر"
126,نما?شگاه?,,,,,Cleaning,45,"Disk, Vane, Blade, …",Engine Shop 2,,14/09/24,Completed,,,Completed,پا?ان تم?زکار?
127,GT 20,,,CFM56-5C,,Cleaning,7,"HPT Disk, LPT Disk stg 1, LPT Blade stg 1",Engine Design,"1498M34P04, 3371277120, 337004030",22/09/24,Completed,,,Completed,پا?ان تم?زکار?
129,Iran Air tour,,560231,JT8D,,"Cleaning, Inspection, Repair",7,LPT Blade stg 3 & 4,معاونت کسب و کار,"803003, 851704",,Completed,Completed,,,"پا?ان بازرس?،  ارسال به NVO جهت تعم?ر. جاب کارد تعم?ر آماده است. تحو?ل سه عدد به ا?رتور"
