,,,,,,,,,,,,Effective Dates,,,,,,,,
Row,Client,Service Order,New Service order,Engine Type,ESN,SOW,QTY,Part Name,Applicant,Part No.,Month,Recieveing Email ,Entry to Warehouse ,Actual End,Cleaning,Inspection,Repair & Coating,Inspection After Repair,Status,Remarks
12,Owner/Apadana,5026205,,JT8D,728135,"Cleaning, Inspection (FPI)",195,"Blade, Vane, Disk",Engine Design,List,3,27/02/24,7/3/2024,17/03/24,Completed,Completed,,,Completed,Å«?«‰ »«“—”?
13,Owner,,,JT8D,,Cleaning,257,Part list LPT,Engine Shop,List,2,4/2/2024,19/02/24,19/02/24,Completed,,,,Completed,Å«?«‰  „?“ò«—?
14,Meraj,S-10006,560005,CFM56/5B5P,575649,"Cleaning, Inspection (VT, DT), Repair",3," CC (Inner, Outer, Dome)",Engine Shop,"1561M26G05, 1968M44G06, 1968M64G01",9,3/2/2024,4/2/2024,10/9/2024,Completed,Completed,Completed,Completed,Completed,Å«?«‰  ⁄„?—
15,Iran Air tour,S-20002,560028,JT8D,,"Cleaning, Inspection, Repair",64,1st HPT Blade (60Rl+4Sl),,"856101, 843901",5,,10/1/2024,28/05/24,Completed,Completed,,,,"«—”«· Ã«» ò«—œÂ«?  ⁄„?—«  »Â ‘«Å° Å«?«‰ ”«Œ  ›?ò”ç— ( ÕÊ?· ¬ﬁ«? ê·ò«—)."
17,Air 1,S-10014,560013,CFM56-3C1,,Cleaning,1533,"CC, HPT Nozzle, HPT shroud, LPT Nozzle, Part List",Engine Shop,List,3,6/3/2024,9/3/2024,12/3/2024,Completed,,,,Completed,Å«?«‰  „?“ò«—?
18,GT 20,5023621,510001,CFM56-5C,,"Cleaning, Inspection (FPI-4)",12,"LPT, HPT blades",,"208M81P01, 3371277120",3,9/3/2024,9/3/2024,16/03/24,Completed,Completed,,,Completed,Å«?«‰ »«“—”?
19,Meraj,S-10006,560005,CFM56-5B5/P,575649,"Cleaning, inspection (FPI)",39,"Nozzle segment stg 2,3 , center vent tube",Engine Shop,List,6,6/3/2024,13/05/24,10/6/2024,Completed,Completed,,,Completed,Å«?«‰ »«“—”?
20,Air 1,S-10014,560013,CFM56-3C1,,Cleaning,475,"Inner Liner, Nozzle, Blade, Ö",Engine Shop,List,3,11/3/2024,11/3/2024,12/3/2024,Completed,,,,Completed,Å«?«‰  „?“ò«—?
21,Sepahan,S-10007,560006,CFM56-5A1/F,731585,Cleaning,144,"Fan Blade, Damper, Retainer, Spacer",Engine shop,List,3,11/3/2024,11/3/2024,14/03/24,Completed,,,,Completed,Å«?«‰  „?“ò«—?
22,,,,PW4000 ,,Inspection (Vt),1,HPT Blade Stage2,,,4,,16/03/24,8/4/2024,,Completed,,,Completed,Å«?«‰ »«“—”?
23,Qeshm ,S-10009,560008,CF6-80C2A5,,"Cleaning, Inspection",185,"BLADES ASSY- STG 1 & 2 HPTR, Shroud 1 & 2, seal, Nozzle assy",„⁄«Ê‰  ò”» Ê ò«—,List,2,7/1/2024,10/1/2024,27/02/24,Completed,Completed,,,Completed,Å«?«‰ »«“—”?
24,Qeshm,S-10009,560008,CF6-80C2A5,,"Cleaning, Inspection, Repair, coating",120,HPT Blade 1 (53) & 2 (67),„⁄«Ê‰  ò”» Ê ò«—,List,5,7/1/2024,10/1/2024,,Completed,Completed,,,, Repair Outsourcing
25,Qeshm ,S-10009,560008,CF6-80C2A5,,"Cleaning, Inspection (Vt, Dt), Repair",62,"Seal. Shroud, Nozzle",„⁄«Ê‰  ò”» Ê ò«—,List,5,7/1/2024,10/1/2024,27/04/24,Completed,Completed,,,,"«—”«· «”òÊÅ Ê Â“?‰Â »—«? „‘ —? (13 ⁄œœ ﬁ«»·  ⁄„?—)° œ— «‰ Ÿ«—  √??œ?Â ò«—›—„«"
26,Taban,S-10021,560020,JT8D-219,,"Cleaning, Inspection, Repair",116, LPT Blade stg 2,,800002,12,15/04/24,13/04/24,1/2/2025,Completed,Completed,Completed,Completed,Completed,Å«?«‰  ⁄„?—- Ã«» ò«—œ  ⁄„?— œ«—œ.
27,Aseman,5025213,560102,CFM56-5C2,"740178, 740107","Cleaning, Inspection (FPI-2,4)",6,"Spool, bushing, spacer, c.c",Engine Shop,List,4,9/1/2024,24/02/24,27/04/24,Completed,Completed,,,Completed,Å«?«‰ »«“—”?
28,Meraj,5025755/896,"560105, 560112",V2500,,"Cleaning, inspection, Repair",35,Vane HPT stg 2,,List,12,,,13/01/25,Completed,Completed,Completed,Completed,Completed,"Å«?«‰ ò«— œ— „Ê«œ ò«—«‰° œ—  «—?Œ 1403/10/24  ÕÊ?· „⁄—«Ã ê—œ?œ."
29,GT 27,,,PW127M,,Cleaning,1,HPT Disk stg 1,Engine Design,,4,14/04/24,16/04/24,20/04/24,Completed,,,,Completed,Å«?«‰  „?“ò«—?
30,Meraj,S-10006,560005,CFM56-5B5/P,575649,"Cleaning, inspection (Vt, Dt), repair",14,Hanger Shroud HPT stator,Engine Shop,"1808M61G04, 1808M61G08",5,13/04/24,4/2/2024,,Completed,Completed,,,,"Å«?«‰ »«“—”?. «»·«€ »Â  ?„  ⁄„?—« . Ã«» ò«—œ  ⁄„?— œ«—œ. Å«?«‰  ⁄„?— 12 ⁄œœ° œ—ŒÊ«”    √„?‰ 2 ⁄œœ »Â ò«—›—„«"
31,Sepahan,S-10005,560004,CFM56-5A3,731548,"Cleaning, Inspection, Repair",6,"Combustion Chamber list, inner, outer, dome, cowl",Engine Shop,List,12,15/04/24,17/04/24,14/12/24,Completed,Completed,Completed,Completed,,"Å«?«‰ ò«— Ê  ÕÊ?· »Â ›—œ?”° UT «Ê — òÊ· «‰Ã«„ ‘œÂ «” ."
32,Sepahan,S-10007,560006,CFM56-5A3,731585,"Cleaning, Inspection, Repair",6,"Combustion Chamber list, inner, outer, dome, cowl",Engine Shop,List,5,15/04/24,17/04/24,,Completed,Completed,,,,« „«„ »«“—”?.  ”  „Ê‰ «é «‰Ã«„ ‘œÂ «” .  ÕÊ?· Ê«Õœ  ⁄„?—« .
33,Sepahan,donator,,CFM56-5A1/F,731330,"Cleaning, Inspection, Repair",6,"Combustion Chamber list, inner, outer, dome, cowl",Engine Shop,List,12,15/04/24,17/04/24,14/12/24,Completed,Completed,Completed,Completed,Completed,« „«„ »«“—”?.  ”  „Ê‰ «é «‰Ã«„ ‘œÂ «” .  ÕÊ?· Ê«Õœ  ⁄„?—« . „ÃÊ“  Œ—?» Ê «” ›«œÂ ÃÂ  œÊ ”—Ê?” «Ê—œ— œ?ê— «Œ– ‘œÂ «” .
34,Taban,S-10020,560019,JT8D-219,,"Cleaning, Inspection (VT, DT, FPI)",292,"LPT Blade stg 3 (176), 4 (116)",,"798403, 822504",11,15/04/24,13/04/24,20/10/24,Completed,Completed,Completed,Completed,Completed,Å«?«‰ »«“—”? Ê  ⁄„?—. 20 ⁄œœ  «” ?Ã 4 »«ﬁ? „«‰œÂ „Ê—Œ 1403/12/05 ÕÊ?·  «»«‰ ê—œ?œ. Ã«» ò«—œ  ⁄„?— œ«—œ.
35,,,,PW4000 ,,"Inspection (VT, DT)",143,HPT Blade,,List,4,20/04/24,20/04/24,14/05/24,,Completed,,,Completed,83 parts were sent on 04/21/2024 and 60 parts were sent on 05/14/2024
36,Sepahan,S-10005,560004,CFM56-5A3,731548,Cleaning,1182,"Seal, Nozzel",Engine Shop,,4,20/04/24,20/04/24,5/5/2024,Completed,,,,Completed,Å«?«‰  „?“ò«—?
37,Fars Co 1st,S-10022,560021,JT8D,728058,"Cleaning, Inspection (VT, DT, FPI), Repair",146,"LPT Blade stg 3 (88), 4 (58)",„⁄«Ê‰  ò”» Ê ò«—,"798403, 822504",10,22/04/24,22/04/24,23/10/24,Completed,Completed,Completed,Completed,Completed,"”Â‰œ ¬”?«°  ⁄„?— (36+83)°  ÕÊ?· »Â „‘ —? (”Â‰œ ¬”?«)."
38,Fars Co 2nd,S-10022,560021,JT8D,718106,"Cleaning, Inspection (VT, DT, FPI), Repair",146,"LPT Blade stg 3 (88), 4 (58)",„⁄«Ê‰  ò”» Ê ò«—,"798403, 822504",7,22/04/24,22/04/24,7/7/2024,Completed,Completed,Completed,Completed,Completed,Å«?«‰  ⁄„?— ⁄·? »«»«
39,Fars Co 3rd,S-10022,560021,JT8D,726041,"Cleaning, Inspection (VT, DT, FPI), Repair",146,"LPT Blade stg 3 (88), 4 (58)",„⁄«Ê‰  ò”» Ê ò«—,"798403, 822505",10,24/04/24,24/04/24,23/10/24,Completed,Completed,Completed,Completed,Completed,ò«”Å?‰  ⁄„?— (45+85).  ÕÊ?· »Â „‘ —? (ò«”Å?‰).
40,Meraj,S-10006,560005,CFM56-5B5/P,575649,"Cleaning, Inspection, Repair (Tack weld)",1,LPT Case (Borescope Boss Stage 3 &  4),Engine Shop,3381174520,5,5/3/2024,5/3/2024,13/05/24,Completed,Completed,Completed,Completed,Completed,Å«?«‰  ⁄„?—
41,GT 25,,,JT8D,,Cleaning,2,Disk stg 3 & 4,Engine Design,"777603, 800804",4,27/04/24,28/04/24,28/04/24,Completed,,,,Completed,Å«?«‰  „?“ò«—?
42,Air 1,S-10018,560007,CFM56-3C1,,Cleaning,2972,"Part List (Fan blade, bolt, nut, ..)",Engine Shop,List,4,22/04/24,24/04/24,2/5/2024,Completed,,,,Completed,Å«?«‰  „?“ò«—?
43,Meraj,S-10006,560005,CFM56-5B5/P,,Cleaning,1,Combustion case,Engine Shop,1784M91G02,5,27/04/24,3/2/2024,8/5/2024,Completed,,,,Completed,Å«?«‰  „?“ò«—?
44,Fars Co 4th (Kish),S-10022,560021,JT8D,725418,"Cleaning, Inspection (VT, DT, FPI), Repair",42,LPT Blade stg 4 (58),„⁄«Ê‰  ò”» Ê ò«—,"798403, 822505, 851704",5,29/04/24,28/04/24,14/05/25,Completed,Completed,Completed,Completed,Completed,"ò?‘  ⁄„?—. Ã«» ò«—œ  ⁄„?— ¬„«œÂ°   √??œ  ⁄„?—  Ê”ÿ ò«—›—„«. «—”«· ﬁÿ⁄«  »Â NVO „Ê—Œ 1403/11/24° »—ê‘  ﬁÿ⁄«  «“  ⁄„?— „Ê—Œ 1404/02/20"
45,Fars Co 5th,S-10022,560021,JT8D,"725973, 717475","Cleaning, Inspection (VT, DT, FPI), Repair",204,"LPT Blade stg 3 (88), 4 (116)",„⁄«Ê‰  ò”» Ê ò«—,"798403, 822505",12,29/04/24,29/04/24,21/08/24,Completed,Completed,Completed,Completed,Completed,"Å«?«‰  ⁄„?—° ⁄·? »«»«  ⁄„?— (58+57)° «?— Ê—(50)."
46,Apadana,5025973,560114,V2500,,Cleaning,244,"TURBINE STAGE NOZZLE, Case LpT",Engine Shop,List,5,30/04/24,1/5/2024,23/05/24,Completed,,,,Completed,Å«?«‰  „?“ò«—?
47,Aseman,5025213,560102,CFM56-5C2/F,,"Cleaning, Inspection (FPI)",614,HPC Blade,Engine Shop,List,7,1/5/2024,1/5/2024,28/07/24,Completed,Completed,,,Completed,Å«?«‰ »«“—”?
48,Sepahan,Donator,,CFM56-5A1/F,,"Cleaning, Inspection",80,"BLADE, HPT ROTOR",Engine Shop,2080M87P04,5,1/5/2024,1/5/2024,,Completed,Completed,,,,"«⁄·«„ ‰ «?Ã »«“—”?° «—”«· »Â NVO ÃÂ   ⁄„?—. Ã«» ò«—œ  ⁄„?—  Ê”ÿ Œ«‰„ —»?⁄? ¬„«œÂ «” ."
49,Sepahan,S-10005,560004,CFM56-5A3,731548,"Cleaning, Inspection",13,"BLADE, HPT ROTOR",Engine Shop,2080M87P07,5,1/5/2024,1/5/2024,9/12/2024,Completed,Completed,,,Completed,Å«?«‰ »«“—”?
50,Sepahan,S-10007,560006,CFM56-5A3,,"Cleaning, Inspection",67,"BLADE, HPT ROTOR",Engine Shop,2080M87P04,5,1/5/2024,1/5/2024,,Completed,Completed,,,,"«⁄·«„ ‰ «?Ã »«“—”?° «—”«· »Â NVO ÃÂ   ⁄„?—. Ã«» ò«—œ  ⁄„?—  Ê”ÿ Œ«‰„ —»?⁄? ¬„«œÂ «” . ?ò ⁄œœ ⁄Êœ  ÃÂ  »«“—”? Å” «“  ⁄„?—"
51,Sepahan,S-10019,560018,CFM56-5A3,731878,"Cleaning, Inspection",86,"BLADE, HPT ROTOR, linner, outer, cowl, dome, nut",Engine Shop,List,6,1/5/2024,1/5/2024,11/6/2024,Completed,Completed,,,Completed,Å«?«‰ »«“—”?
52,Air 1,S-10014,560013,CFM56-3C1,,"Cleaning, Inspection",4,"Shaft, Seal, RETAINER, BLADE HPT RTR REAR & Front",Engine Shop,List,5,28/04/24,10/5/2024,27/05/24,Completed,Completed,,,Completed,Å«?«‰ »«“—”?
53,Sepahan,S-10007,560006,CFM56-5A3,731585,"Cleaning, Inspection (FPI)",1,"DISK, ASSY-FAN",Engine Shop,336-018-165-0,5,6/5/2024,13/05/24,19/05/24,Completed,Completed,,,Completed,Å«?«‰ »«“—”?
55,GT 25,,,JT8D,,"Cleaning, Inspection, ",13,"LPT VANE STAGE 3 & 4 (10), LPT Blade stg 3 (3)",Engine Shop,List,11,9/5/2024,14/05/24,,Completed,Completed,,,Completed,œ— «‰ Ÿ«—  √??œ Â“?‰Â  ⁄„?—  Ê”ÿ ò«—›—„« („Â‰œ” ŒÊ‘œ·)
56,Meraj,S-10006,560005,CFM56-5B5/P,,Cleaning,2152,List,,List,2,28/01/24,10/6/1937,19/02/24,Completed,,,,Completed,Å«?«‰  „?“ò«—?
57,Zagros,S-20003,560029,CFM56-5A,731805,"Cleaning, Inspection (FPI-4)",1,"SEAL, ROTAITING AIR REAR",Engine Shop, 1359M86P03,3,12/2/2024,24/02/24,10/3/2024,Completed,Completed,,,Completed,Å«?«‰ »«“—”?
58,Sepahan,S-10007,560006,CFM56-5A3,731585,"Cleaning, Inspection (FPI)",66,"BOLT, SHEAR DBL HEX HD",Engine Shop,"J818P060A , J816P063A",5,9/5/2024,10/5/2024,26/05/24,Completed,Completed,,,Completed,Å«?«‰ »«“—”?
59,Meraj,S-10006,560005,CFM56-5B5/P,,"Cleaning, Inspection, Repair",43,"Shroud, HPT Stator (42), CVT support (1)",Engine Shop,"2080M28P02, 337-111-903-0",5,6/3/2024,4/2/2024,,Completed,Completed,,,,"« „«„ »«“—”? CVT. «»·«€  ⁄„?— ‘—«œÂ« »Â Ê«Õœ  ⁄„?—« °  √??œ ÅÊ‘‘ HVOF. „Ê—Œ 1403/11/15  ⁄œ«œ 5 ⁄œœ »—«? ÅÊ‘‘ »Â «’›Â«‰ «—”«· ê—œ?œ òÂ „Ê—Œ 1403/11/28 œ—?«›  ê—œ?œ."
60,Meraj,S-10006,560005,CFM56-5B5/P,,"Cleaning, Inspection",614,HPC Blade STG 1-9 ,Engine Shop,List,7,11/5/2024,13/05/24,20/07/24,Completed,Completed,,,Completed,Å«?«‰ »«“—”?
61,"Apadana, Meraj","5025896, 5025755, 5025872 ",560109,V2500,,"Cleaning, Inspection, Repair",143,"HPT vane satg 1 (51+28), HPT blade stg 1 (48+16)",,"2A4201, 2A9201",8,11/5/2024,21/07/24,7/9/2024,Completed,Completed,Completed,Completed,Completed,Å«?«‰  ⁄„?—
62,GT 20,,,,,Sandblast,12,HPT Blade,Engine Construct,,5,12/5/2024,13/05/24,16/05/24,Completed,,,,Completed,Å«?«‰ ”‰œ»·«” 
63,Sepahan,S-10019,560018,CFM56-5A3,731878,Cleaning,2451,Parts list,Engine Shop,List,5,15/05/24,15/05/24,28/05/24,Completed,,,,Completed,Å«?«‰  „?“ò«—?
65,,,,V2500,,Cleaning,2,1ST STG HPT SHROUD,Mechanic,-,5,19/05/24,19/05/24,23/05/24,Completed,,,,Completed,Å«?«‰  „?“ò«—?
66,Qeshm ,S-10009,560008,CF6-80C2,,"Cleaning, Inspection, Repair",28,"HPT Blade Stg.1 (18), HPT NGV2 (7), C.C (3 set)",„⁄«Ê‰  ò”» Ê ò«—,List,5,21/04/24,21/04/24,10/4/2025,Completed,Completed,,,,Å«?«‰ »«“—”?. Ã«» ò«—œ  ⁄„?— «Ê — ·«?‰— ¬„«œÂ «” . ”Â ⁄œœ «Ê — ò· Å” «“ UT  ÕÊ?· «‰»«— ›—œ?” „? »«‘œ.
68,Sepahan,S-10019,560018,CFM56-5A3,731878,Cleaning,1969,"LPT Rotor/Stator Part List, HPT Shroud & LPT Nozzle 1 Part List",Engine Shop,,7,23/05/24,23/05/24,23/07/24,Completed,,,,Completed,Å«?«‰  „?“ò«—?
69,Meraj,S-10006,560005,CFM56-5B5/P,,Cleaning,2,"CASE, CPRSR STTR REAR, Front",Engine Shop,"1559M40G03, 1559M30G06",5,25/05/24,25/05/24,29/05/24,Completed,,,,Completed,Å«?«‰  „?“ò«—?
70,Meraj,S-10006,560005,CFM56-5B5/P,,"Cleaning (is Done), inspection, Repair",6,"Bracket, Tube, ..",Engine Shop,List,10,26/05/24,30/05/24,28/09/24,Completed,Completed,Completed,Completed,Completed,Å«?«‰  ⁄„?—
71,GT 25,,,,,"Cleaning, Inspection (FPI)",2,Blade turbine 3rd stg,NDT-QC,B 803003,7,27/05/24,27/05/24,6/7/2024,Completed,Completed,,,Completed,Å«?«‰ »«“—”?
72,Sahand Asia,-,560217,JT8D,,"Cleaning, Inspection, Repair",78,2nd stg. LPT Blade,„⁄«Ê‰  ò”» Ê ò«—,800002,5,28/05/24,5/8/2024,8/9/2024,Completed,Completed,,,,"Å«?«‰ »«“—”?° Ã«» ò«—œ  ⁄„?—«  œ«—œ. ﬁÿ⁄«  „Ê—Œ 1403/12/12 »Â NVOÃÂ   ⁄„?— «—”«· ê—œ?œ."
73,GT 25,,,JT8D,,"Cleaning, Inspection (FPI)",8,Blade turbine 3rd stg,NDT-QC,"B 803003, 822504",7,1/6/2024,1/6/2024,6/7/2024,Completed,Completed,,,Completed,Å«?«‰ »«“—”?
74,GT 22,,,LTC4B-8D,,"Cleaning, Inspection (FPI), Repair",1,2ND NOZZLE,Roostapishe,2-140-240-01 ,11,28/05/24,11/7/2024,14/12/24,Completed,Completed,,,Completed,⁄œ„  «??œ ò«—›—„« »—«?  ⁄„?—  Ê”ÿ Å?„«‰ò«— Ê  ﬁ«÷«? ⁄Êœ  ﬁÿ⁄Â
75,Zagros,S-20003,560029,CFM56-5A3,,Cleaning,1,"Case, CPRSR STTR REAR",Engine Shop,1559M40G03,7,8/6/2024,8/6/2024,23/07/24,Completed,,,,Completed,Å«?«‰  „?“ò«—?
76,Zagros,S-10023,560022,CFM56-5A1,,Cleaning,2,"CASE, ASSY-CPRSR STTR, CASE, COMBUSTION",Engine Shop,"1318M75G10, 2002M88G02",7,8/6/2024,8/6/2024,23/07/24,Completed,,,,Completed,Å«?«‰  „?“ò«—?
78,GT 25,,,JT8D,,Cleaning,2,LPT Disk Stage3 & Stage4,Engine Design,"777603, 800804",7,11/6/2024,22/07/24,28/06/24,Completed,,,,Completed,Å«?«‰  „?“ò«—?
79,Fars Co 6th,S-20007,560033,JT8D,"717475, 708424","Cleaning, Inspection, Repair",160,HPT Blade stg 1,„⁄«Ê‰  ò”» Ê ò«—,"856001, 847601",5,11/6/2024,12/6/2024,,Completed,Completed,,,,"Å«?«‰ »«“—”? °œ— „—Õ·Â  ⁄„?— œ— NVO. Ã«» ò«—œ  ⁄„?— ¬„«œÂ «” ."
80,Iran Air tour,S-10003,560002,JT8D,,"Inspection, Repair",146,LPT Blade stg 3&4,„⁄«Ê‰  ò”» Ê ò«—,"803003, 851704",10,11/6/2024,12/6/2024,5/10/2024,Completed,Completed,Completed,Completed,Completed,  ÕÊ?· »·?œ Â«? 3 Ê 4 »Â ‰?ò· ¬·?«é ÃÂ   ⁄„?— (74 ⁄œœ »·?œ 3 Ê 57 ⁄œœ »·?œ 4). Å«?«‰  ⁄„?—. Ã«» ò«—œ  ⁄„?— ¬„«œÂ «” .
81,Fars Co 7th,S-10022,560021,JT8D,725562,"Cleaning, Inspection, Repair",88,LPT Blade stg 3,„⁄«Ê‰  ò”» Ê ò«—,798403† ,5,18/06/24,12/6/2024,,Completed,Completed,,,,"« „«„ »«“—”?°ò«”Å?‰. Ã«» ò«—œ  ⁄„?—  œÊ?‰ ê—œ?œÂ «” . œ— «‰ Ÿ«—  √??œ?Â ¬ﬁ«? —÷«?? »—«?  ⁄„?—."
82,Sepahan,S-10019,560018,CFM56-5A3,731878,Cleaning,74,Blade stg 3 & 4,Engine Shop,List,6,15/06/24,15/06/24,20/07/24,Completed,,,,Completed,Å«?«‰  „?“ò«—?
83,Sepahan,Donator,,CFM56-5A1/F,731330,Cleaning,78,Blade stg 3 & 4,Engine Shop,List,6,15/06/24,15/06/24,20/07/24,Completed,,,,Completed,Å«?«‰  „?“ò«—?
84,Iran Air tour,-,560098,JT8D-219,,Root Cause Failure Analysis,4,LPT Blade Stage 2 ,Engine Shop,B 800002,8,16/06/24,16/06/24,21/08/24,,,,,Completed, ÕÊ?· Ê«Õœ  Õﬁ?ﬁ Ê  Ê”⁄Â. „ÃÊ“  Œ—?» ê—› Â ‘œÂ «” .
85,Meraj,S-10006,560005,CFM56-5B5/P,,Heat tint,4,LPT Blade Stage 2 ,Engine Shop,3381083040,6,2/6/2024,2/6/2024,22/06/24,,,,,Completed,ê“«—‘  Ê”ÿ Ê«Õœ  Õﬁ?ﬁ Ê Ê”⁄Â «—”«· ‘œÂ «” .
86,Iran Air tour,-,560098,JT8D-219,,"Cleaning, Inspection",5,"Shaft, Disk, HUB ASSY",Engine Shop,List,10,22/06/24,22/07/24,26/10/24,Completed,Completed,,,Completed," Å«?«‰ »«“—”? Ê  ÕÊ?· ﬁÿ⁄«  »Â ›—œ?”° ⁄œ„  ò„?· »«“—”? «»⁄«œ? ‘› . œ— „—Õ·Â «œ? ò«—‰  œ?”ò 4"
87,Chabahar,-,560186,JT8D,, Inspection,188,HPT Blade stg 1,,856101,10,26/06/24,26/06/24,29/10/24,Completed,Completed,Completed,Completed,Completed,"Å«?«‰  ⁄„?—° 180 ﬁÿ⁄Â serviceable- Ã«» ò«—œ  ⁄„?— »Â Ê«Õœ  ⁄„?—«  ÃÂ   ò„?· «—”«· ‘œÂ «” ."
88,Zagros,-,560161,JT8D,,"Cleaning, Inspection",146,LPT  Blade 3&4,Engine Shop,"851704, 803003",5,29/06/24,14/07/24,,Completed,Completed,,,,« „«„ »«“—”?. Ã«» ò«—œ  ⁄„?— œ«—œ.  ÕÊ?· NVO »—«?  ⁄„?—
89,Meraj,S-10006,560005,CFM56-5B5/P,,"Cleaning, Inspection, Coating (Aluminize)",350,"Blade stg 1(160SL+2 OL), Blade stg 2 (80SL+70OL), Nozzle stg 2 (17), Nozzle stg 3 (19),  Nozzle BS (2)",Engine Shop,List,5,29/06/24,7/6/2024,22/04/25,Completed,Completed,Completed,Completed,Completed, „?“ò«—? «‰Ã«„ ‘œÂ «” . Å«?«‰ ÅÊ‘‘ »·?œ 1 Ê 2 (160 »·?œ —œ?› 1 ﬁ«»· Œœ„  «“ 162 ⁄œœ) Ê (80 ⁄œœ »·?œ —œ?› 2 ﬁ«»· Œœ„  «“ 150 ⁄œœ)-  ⁄Êœ  „Ãœœ 160 ⁄œœ «” ?Ã 1 Ê 76 ⁄œœ «” ?Ã 2 »Â «“„« ò
91,,,,,,Cleaning,17,Accessory parts, ÃÂ?“«  Ã«‰»?,List,7,3/7/2024,3/7/2024,7/7/2024,Completed,,,,Completed,Å«?«‰  „?“ò«—?
92,Meraj,-,560187,CFM56-5B62P (575616),,"Cleaning, Inspection, Repair",5+1,"Cowl, Inner Dome, Outer Dome, OUTER COMB CHAMBER, INNER COMB CHAMBER (COMBUSTION CHAMBER ASSY  PN:73M18G02   S/N:MMTE6017     1EA)",„⁄«Ê‰  ò”» Ê ò«—,"1873M18G02, 1968M91G03, 1968M90G02, 1873M78G07, 1968M96G10",3,7/7/2024,24/06/24,4/3/2025,Completed,Completed,Completed,Completed,Completed," „?“ò«—? Ê »«“—”? «‰Ã«„ ‘œÂ°œ— „—Õ·Â  ⁄„?—° «»·«€ Ã«» ò«—œ  ⁄„?— »Â  ⁄„?—« . œœ·«?‰ «Ê·?Â 30 ‘Â—?Ê— Ê œœ·«?‰ Ãœ?œ  ⁄„?—«  20 ¬–— „? »«‘œ. „Ê—Œ 1403/11/15 ﬁÿ⁄«  «Ê — ·«?‰— Ê «?‰— œ«„ »—«? ÅÊ‘‘ »Â «’›Â«‰ «—”«· ê—œ?œ."
